iter	RMSE
220	13219.62839
221	13177.29007
222	13157.60852
223	13146.53102
224	13122.40047
225	13096.51649
226	13069.37107
227	13059.64509
228	13038.31483
229	13009.89958
230	13001.91086
231	12979.29363
232	12951.0809
233	12935.2012
234	12899.13011
235	12872.03747
236	12846.19367
237	12823.83478
238	12818.0181
239	12799.36358
240	12774.64915
241	12755.97375
242	12747.1522
243	12731.3318
244	12710.43898
245	12692.60378
246	12657.50836
247	12647.53008
248	12621.41733
249	12601.50967
250	12580.50127
251	12567.63389
252	12547.47554
253	12520.05684
254	12504.7654
255	12500.39853
256	12484.78628
257	12465.03394
258	12451.32612
259	12430.14405
260	12408.46476
261	12398.63179
262	12393.95957
263	12363.87327
264	12340.34474
265	12327.9009
266	12311.23773
267	12306.45077
268	12290.64666
269	12266.87952
270	12248.22424
271	12232.39615
272	12213.31526
273	12176.64671
274	12159.58036
275	12146.28039
276	12128.01858
277	12112.66458
278	12093.41681
279	12060.93197
280	12055.44996
281	12044.45347
282	12027.46436
283	12024.21249
284	11997.08974
285	11990.11732
286	11972.21597
287	11957.28922
288	11950.48234
289	11932.47353
290	11913.63099
291	11891.41883
292	11870.76258
293	11850.17918
294	11831.35594
295	11813.79525
296	11798.25732
297	11778.35744
298	11773.7608
299	11759.04116
300	11744.4951
301	11740.49029
302	11732.91363
303	11714.7793
304	11702.43765
305	11688.3974
306	11655.44085
307	11643.75128
308	11631.31635
309	11614.31661
310	11585.07236
311	11570.8648
312	11554.65677
313	11542.96758
314	11525.51989
315	11498.96616
316	11489.02644
317	11469.14152
318	11463.9733
319	11447.40529
320	11431.93094
321	11419.73541
322	11405.167
323	11388.86474
324	11376.88466
325	11363.16102
326	11342.40999
327	11322.07555
328	11314.28216
329	11296.71374
330	11279.45668
331	11268.58645
332	11249.3453
333	11235.59153
334	11223.07986
335	11206.1206
336	11185.531
337	11170.60513
338	11165.14702
339	11151.00277
340	11146.77198
341	11127.92834
342	11113.21508
343	11099.58111
344	11091.07368
345	11085.22611
346	11063.27919
347	11055.55874
348	11043.79776
349	11040.17589
350	11018.93022
351	10995.7874
352	10982.36568
353	10971.15235
354	10951.10208
355	10924.9285
356	10913.5496
357	10899.13403
358	10879.93371
359	10867.91335
360	10862.75832
361	10849.37831
362	10826.54486
363	10815.20191
364	10802.0005
365	10796.56917
366	10776.28638
367	10762.48791
368	10752.73729
369	10734.53183
370	10728.49708
371	10709.14728
372	10686.61173
373	10673.22059
374	10662.18327
375	10637.10646
376	10620.1734
377	10608.13832
378	10591.74283
379	10581.76263
380	10564.77112
381	10551.91823
382	10544.73079
383	10533.54447
384	10528.53401
385	10519.78919
386	10517.12692
387	10503.1354
388	10499.26983
389	10489.70098
390	10463.91751
391	10438.94955
392	10435.21052
393	10417.03895
394	10406.68562
395	10403.52689
396	10390.44077
397	10377.81269
398	10366.91356
399	10352.44212
400	10336.05917
401	10320.04404
402	10311.89251
403	10298.18629
404	10278.15103
405	10260.74661
406	10252.49532
407	10250.74717
408	10239.80514
409	10225.72201
410	10219.9861
411	10212.79463
412	10195.93231
413	10185.60986
414	10171.50072
415	10157.68558
416	10148.58522
417	10144.46525
418	10130.23755
419	10127.89396
420	10113.72793
421	10104.26723
422	10080.9968
423	10073.47744
424	10064.48519
425	10057.2936
426	10055.12344
427	10042.51694
428	10026.44252
429	10018.87423
430	10008.40676
431	10000.25172
432	9991.049813
433	9970.082706
434	9954.839508
435	9951.534177
436	9942.163772
437	9926.09379
438	9916.935582
439	9915.661249
440	9904.689524
441	9886.135322
442	9874.069519
443	9864.160629
444	9853.857233
445	9845.438956
446	9834.052002
447	9820.678358
448	9806.464584
449	9802.739843
450	9800.263919
451	9792.269849
452	9782.167772
453	9781.017091
454	9764.812432
455	9760.260511
456	9746.442312
457	9729.63557
458	9725.276616
459	9723.743194
460	9711.445603
461	9703.61173
462	9689.50404
463	9688.019789
464	9676.624924
465	9668.56106
466	9656.661093
467	9646.416133
468	9633.455661
469	9611.226807
470	9601.608518
471	9590.632053
472	9581.517742
473	9568.113757
474	9559.778333
475	9544.155295
476	9525.481841
477	9511.067701
478	9501.185607
479	9487.505873
480	9475.346758
481	9458.483524
482	9456.802984
483	9455.796622
484	9447.384681
485	9444.769693
486	9436.324662
487	9419.568183
488	9406.256213
489	9392.765257
490	9391.753116
491	9379.47528
492	9365.51759
493	9358.087194
494	9344.656961
495	9337.131295
496	9315.243682
497	9307.631004
498	9295.394625
499	9294.548385
